Taxonomy,Conversion,Foundations,Frame,Floors,Walls,Roofing,Stairs,External Infills,Internal Parititions
MCF+CLBLH/LWAL,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
MIX/LH,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR+CIP/LFINF/EWMA/RSH1/FC,CR/LFINF(CLBRH)/FC,RC foundation,RC frame,RC solid slab,RC wall,RC solid roofing,Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR/LFLS,CR/LFINF(CLBRH)/FC,RC foundation,RC frame,RC solid slab,RC wall,RC solid roofing,Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR/LFINF/FC,CR/LFINF(CLBRH)/FC,RC foundation,RC frame,RC solid slab,RC wall,RC solid roofing,Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR/LFINF(CBH),CR/LFINF(CBH),RC foundation,RC frame,RC ribbed slab (with hollow concrete blocks),RC wall,RC ribbed roofing (with hollow concrete blocks),Stairs (RC),Hollow concrete infill (external),Hollow concrete infill (internal)
CR/LFINF(MUR+CBH),CR/LFINF(CBH),RC foundation,RC frame,RC ribbed slab (with hollow concrete blocks),RC wall,RC ribbed roofing (with hollow concrete blocks),Stairs (RC),Hollow concrete infill (external),Hollow concrete infill (internal)
CR/LFINF(MUR+CBS),CR/LFINF(CBH),RC foundation,RC frame,RC ribbed slab (with hollow concrete blocks),RC wall,RC ribbed roofing (with hollow concrete blocks),Stairs (RC),Hollow concrete infill (external),Hollow concrete infill (internal)
CR/LWAL,CR/LWAL,RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR+PC/LWAL,CR/LWAL,RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
UNK,CR/LWAL,RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR+PC/LWAL/RSH1/FC,CR/LWAL/FC,RC foundation,RC frame,RC solid slab,RC wall,RC solid roofing,Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
MR/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MIX(MUR+W)/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MUR/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MUR+CL/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MUR+CLBRS/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
UNK/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MATO/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MUR+ADO/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
EU/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
EU+ETR/LWAL/RSH3+RMT1+RWO,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MUR+ST/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MUR+STDRE/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MUR+STRUB/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MUR+CLBRH/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MUR+CLBLH/LWAL,MR+CLBRH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC ribbed roofing (with hollow clay bricks),Stairs (RC),Not included,Not included
MUR/LWAL/FC,MR+CLBRH/LWAL/FC,RC foundation,Not included,RC solid slab,Reinforced masonry wall (with hollow clay bricks),RC solid roofing,Stairs (RC),Not included,Not included
MUR+CL/LWAL/FC,MR+CLBRH/LWAL/FC,RC foundation,Not included,RC solid slab,Reinforced masonry wall (with hollow clay bricks),RC solid roofing,Stairs (RC),Not included,Not included
MUR/LWAL/FW,MR+CLBRH/LWAL/RWO/FW,RC foundation,Not included,RC and timber composite floor,Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MUR+CL/LWAL/FW,MR+CLBRH/LWAL/RWO/FW,RC foundation,Not included,RC and timber composite floor,Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MUR+CLBRS/LWAL/FW,MR+CLBRH/LWAL/RWO/FW,RC foundation,Not included,RC and timber composite floor,Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MUR+CLBRS/LWAL/RSH2+RMT1+RWO,MR+CLBRH/LWAL/RWO/FW,RC foundation,Not included,RC and timber composite floor,Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MUR+CLBRS/LWAL/RSH3+RMT1+RWO/FW,MR+CLBRH/LWAL/RWO/FW,RC foundation,Not included,RC and timber composite floor,Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MUR+ADO/LWAL/FW,MR+CLBRH/LWAL/RWO/FW,RC foundation,Not included,RC and timber composite floor,Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MUR+CLBRS/LWAL/RSH3+RMT1+RWO/FM,MR+CLBRH/LWAL/RWO/FM,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MUR+CLBRH/LWAL/RSH3+RMT1+RWO/FM,MR+CLBRH/LWAL/RWO/FM,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MUR+CLBLH/LWAL/RSH3+RMT1+RWO/FM,MR+CLBRH/LWAL/RWO/FM,RC foundation,Not included,RC ribbed slab (with hollow clay bricks),Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MUR+CLBRS/LWAL/RSH3+RMT1+RWO/FC,MR+CLBRH/LWAL/RWO/FC,RC foundation,Not included,RC solid slab,Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MCF+CLBRH/LWAL/RSH3+RMT1+RWO/FC,MR+CLBRH/LWAL/RWO/FC,RC foundation,Not included,RC solid slab,Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MCF+CLBLH/LWAL/RSH3+RMT1+RWO/FC,MR+CLBRH/LWAL/RWO/FC,RC foundation,Not included,RC solid slab,Reinforced masonry wall (with hollow clay bricks),RC and timber composite roofing,Stairs (RC),Not included,Not included
MUR+CB/LWAL,MR+CBH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow concrete blocks),Reinforced masonry wall (with hollow concrete blocks),RC ribbed roofing (with hollow concrete blocks),Stairs (RC),Not included,Not included
MUR+CBH/LWAL,MR+CBH/LWAL,RC foundation,Not included,RC ribbed slab (with hollow concrete blocks),Reinforced masonry wall (with hollow concrete blocks),RC ribbed roofing (with hollow concrete blocks),Stairs (RC),Not included,Not included
S/LFBR,S+SR/LFBR,RC foundation,Hot rolled steel members,RC and steel composite floor,RC wall,RC and steel composite roofing,Stairs (RC),Steel panels,Hollow clay infill (internal)
S/LFINF,S+SR/LFINF,RC foundation,Hot rolled steel members,RC and steel composite floor,RC wall,RC and steel composite roofing,Stairs (RC),Steel panels,Hollow clay infill (internal)
S/LFM,S+SR/LFINF,RC foundation,Hot rolled steel members,RC and steel composite floor,RC wall,RC and steel composite roofing,Stairs (RC),Steel panels,Hollow clay infill (internal)
S/LFM/RME,S+SR/LFINF,RC foundation,Hot rolled steel members,RC and steel composite floor,RC wall,RC and steel composite roofing,Stairs (RC),Steel panels,Hollow clay infill (internal)
S+SR/LFM,S+SR/LFINF,RC foundation,Hot rolled steel members,RC and steel composite floor,RC wall,RC and steel composite roofing,Stairs (RC),Steel panels,Hollow clay infill (internal)
S+SL/LFM,S+SR/LFINF,RC foundation,Hot rolled steel members,RC and steel composite floor,RC wall,RC and steel composite roofing,Stairs (RC),Steel panels,Hollow clay infill (internal)
S/LWAL,S/LWAL,RC foundation,Hot rolled steel members,RC and steel composite floor,RC wall,RC and steel composite roofing,Stairs (RC),Steel panels,Hollow clay infill (internal)
W/LFINF(MUR+ADO),W/LFINF,RC foundation,Timber structural components,RC and timber composite floor,Timber structural components,RC and timber composite roofing,Stairs (timber),Timber infills,Timber partitions
W/LFINF(MUR+ST),W/LFINF,RC foundation,Timber structural components,RC and timber composite floor,Timber structural components,RC and timber composite roofing,Stairs (timber),Timber infills,Timber partitions
W+WLI/LWAL/EWE/RSH3+RMT1,W/LFINF,RC foundation,Timber structural components,RC and timber composite floor,Timber structural components,RC and timber composite roofing,Stairs (timber),Timber infills,Timber partitions
W/LFM,W/LFINF,RC foundation,Timber structural components,RC and timber composite floor,Timber structural components,RC and timber composite roofing,Stairs (timber),Timber infills,Timber partitions
W/LPB,W/LFINF,RC foundation,Timber structural components,RC and timber composite floor,Timber structural components,RC and timber composite roofing,Stairs (timber),Timber infills,Timber partitions
W+S/LPB,W/LFINF,RC foundation,Timber structural components,RC and timber composite floor,Timber structural components,RC and timber composite roofing,Stairs (timber),Timber infills,Timber partitions
W/LWAL,W/LWAL,RC foundation,Timber structural components,RC and timber composite floor,Timber structural components,RC and timber composite roofing,Stairs (timber),Timber infills,Timber partitions
W+WLI/LWAL,W/LWAL,RC foundation,Timber structural components,RC and timber composite floor,Timber structural components,RC and timber composite roofing,Stairs (timber),Timber infills,Timber partitions
